,age,gender,time_available,route_type,price,difficulty,accompaniment,transport,selection_map
9457,+45,Hombre,7 - 8,Literaria,Gratis,Baja,Pareja,Bicicleta,14
9458,+45,Hombre,3 - 4,Turistica,Gratis,Alta,Familia,Bicicleta,5
9459,18-35,Mujer,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,7
9460,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,5
9461,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Pie,14
9462,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Pie,8
9463,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,12
9464,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,20
9465,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,14
9466,35-45,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Solo,Bicicleta,8
9467,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,5
9468,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Familia,Bicicleta,1
9469,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,22
9470,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,16
9471,18-35,Mujer,3 - 4,Turistica,+50 Euros,Baja,Solo,Pie,21
9472,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,15
9473,+45,Hombre,3 - 4,Turistica,Gratis,Alta,Familia,Pie,13
9474,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Pie,11
9475,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,13
9476,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,14
9477,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,7
9478,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,8
9479,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,9
9480,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,12
9481,35-45,Hombre,7 - 8,Turistica,Gratis,Alta,Solo,Pie,22
9482,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Solo,Bicicleta,10
9483,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,7
9484,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Bicicleta,17
9485,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,12
9486,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,21
9487,35-45,Prefiero no decirlo,3 - 4,Literaria,Gratis,Baja,Pareja,Bicicleta,11
9488,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,18
9489,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,16
9490,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Bicicleta,9
9491,35-45,Hombre,3 - 4,Turistica,+50 Euros,Baja,Pareja,Pie,3
9492,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,6
9493,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Pie,4
9494,35-45,Mujer,3 - 4,Turistica,+50 Euros,Alta,Solo,Pie,15
9495,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,2
9496,35-45,Hombre,7 - 8,Historica,+50 Euros,Baja,Familia,Pie,21
9497,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,5
9498,+45,Hombre,1 - 2,Turistica,Gratis,Baja,Familia,Bicicleta,11
9499,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,9
9500,+45,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,9
9501,18-35,Mujer,1 - 2,Historica,1-50 Euros,Alta,Pareja,Pie,7
9502,35-45,Hombre,7 - 8,Historica,1-50 Euros,Alta,Pareja,Pie,17
9503,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,15
9504,35-45,Hombre,7 - 8,Turistica,Gratis,Alta,Solo,Bicicleta,22
9505,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Bicicleta,12
9506,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,12
9507,18-35,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Alta,Solo,Bicicleta,0
9508,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Pie,18
9509,18-35,Mujer,3 - 4,Historica,Gratis,Alta,Solo,Bicicleta,22
9510,35-45,Hombre,1 - 2,Historica,+50 Euros,Baja,Pareja,Bicicleta,6
9511,18-35,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,7
9512,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Familia,Bicicleta,9
9513,18-35,Hombre,1 - 2,Historica,+50 Euros,Baja,Pareja,Pie,2
9514,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,8
9515,18-35,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Solo,Pie,5
9516,18-35,Hombre,5 - 6,Turistica,Gratis,Baja,Pareja,Pie,5
9517,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Pie,18
9518,35-45,Hombre,5 - 6,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,19
9519,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,5
9520,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Solo,Pie,17
9521,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Familia,Pie,1
9522,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,6
9523,35-45,Mujer,3 - 4,Patrimonio,1-50 Euros,Baja,Solo,Pie,1
9524,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Familia,Bicicleta,11
9525,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Solo,Bicicleta,15
9526,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,0
9527,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,8
9528,18-35,Mujer,1 - 2,Literaria,Gratis,Alta,Pareja,Pie,18
9529,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Familia,Bicicleta,19
9530,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,1
9531,+45,Hombre,7 - 8,Patrimonio,Gratis,Alta,Solo,Bicicleta,23
9532,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Solo,Pie,9
9533,+45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,17
9534,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,22
9535,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Solo,Pie,3
9536,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,4
9537,18-35,Prefiero no decirlo,1 - 2,Turistica,+50 Euros,Baja,Pareja,Pie,6
9538,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,3
9539,+45,Mujer,3 - 4,Literaria,Gratis,Alta,Pareja,Pie,8
9540,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,1
9541,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,6
9542,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Bicicleta,18
9543,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,6
9544,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,4
9545,35-45,Hombre,7 - 8,Turistica,Gratis,Alta,Solo,Bicicleta,15
9546,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,10
9547,18-35,Mujer,3 - 4,Turistica,Gratis,Alta,Solo,Bicicleta,15
9548,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,19
9549,+45,Mujer,7 - 8,Historica,Gratis,Baja,Solo,Pie,6
9550,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,9
9551,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,11
9552,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,21
9553,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,17
9554,+45,Prefiero no decirlo,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,4
9555,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,7
9556,35-45,Hombre,3 - 4,Patrimonio,Gratis,Baja,Pareja,Bicicleta,23
9557,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,6
9558,35-45,Prefiero no decirlo,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,19
9559,35-45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,12
9560,35-45,Mujer,1 - 2,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,15
9561,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,23
9562,35-45,Mujer,7 - 8,Historica,Gratis,Alta,Pareja,Bicicleta,17
9563,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Bicicleta,21
9564,18-35,Hombre,1 - 2,Literaria,1-50 Euros,Alta,Pareja,Pie,6
9565,35-45,Mujer,3 - 4,Literaria,1-50 Euros,Alta,Solo,Pie,19
9566,18-35,Hombre,3 - 4,Historica,1-50 Euros,Alta,Solo,Bicicleta,2
9567,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Bicicleta,19
9568,18-35,Mujer,3 - 4,Historica,1-50 Euros,Alta,Solo,Pie,17
9569,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Familia,Bicicleta,7
9570,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,2
9571,35-45,Mujer,3 - 4,Literaria,1-50 Euros,Alta,Pareja,Pie,7
9572,18-35,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Pie,3
9573,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Pareja,Pie,7
9574,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,20
9575,35-45,Hombre,5 - 6,Turistica,1-50 Euros,Alta,Solo,Bicicleta,21
9576,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,18
9577,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Pareja,Pie,9
9578,+45,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Familia,Pie,21
9579,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,9
9580,35-45,Prefiero no decirlo,1 - 2,Historica,Gratis,Alta,Pareja,Pie,9
9581,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Familia,Pie,14
9582,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Familia,Pie,14
9583,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Pie,19
9584,35-45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Pie,8
9585,18-35,Hombre,7 - 8,Historica,1-50 Euros,Alta,Pareja,Pie,16
9586,18-35,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Pie,18
9587,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Familia,Pie,3
9588,35-45,Mujer,3 - 4,Turistica,Gratis,Baja,Solo,Bicicleta,22
9589,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Solo,Pie,5
9590,35-45,Hombre,1 - 2,Patrimonio,1-50 Euros,Alta,Pareja,Pie,22
9591,+45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Solo,Pie,0
9592,18-35,Hombre,5 - 6,Historica,Gratis,Baja,Pareja,Bicicleta,13
9593,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,6
9594,18-35,Mujer,3 - 4,Historica,1-50 Euros,Alta,Familia,Bicicleta,12
9595,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,3
9596,35-45,Hombre,7 - 8,Literaria,Gratis,Alta,Pareja,Pie,9
9597,+45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,22
9598,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Familia,Pie,18
9599,+45,Hombre,7 - 8,Historica,1-50 Euros,Alta,Pareja,Pie,20
9600,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,5
9601,+45,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,13
9602,35-45,Hombre,7 - 8,Literaria,Gratis,Baja,Solo,Bicicleta,18
9603,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Bicicleta,3
9604,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,14
9605,35-45,Mujer,7 - 8,Historica,1-50 Euros,Alta,Pareja,Bicicleta,11
9606,18-35,Hombre,3 - 4,Turistica,+50 Euros,Alta,Solo,Pie,6
9607,+45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Pie,9
9608,35-45,Hombre,1 - 2,Patrimonio,1-50 Euros,Baja,Pareja,Pie,7
9609,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,2
9610,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,15
9611,35-45,Mujer,5 - 6,Turistica,Gratis,Alta,Familia,Pie,5
9612,+45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Familia,Pie,10
9613,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Solo,Bicicleta,1
9614,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,10
9615,35-45,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,14
9616,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,1
9617,18-35,Hombre,1 - 2,Turistica,Gratis,Baja,Solo,Bicicleta,21
9618,18-35,Mujer,1 - 2,Turistica,+50 Euros,Alta,Familia,Pie,0
9619,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,3
9620,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Pie,14
9621,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Familia,Pie,4
9622,35-45,Mujer,3 - 4,Turistica,+50 Euros,Baja,Solo,Pie,0
9623,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,19
9624,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Solo,Pie,20
9625,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,11
9626,18-35,Mujer,7 - 8,Historica,1-50 Euros,Baja,Solo,Bicicleta,6
9627,18-35,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,8
9628,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Solo,Bicicleta,19
9629,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,10
9630,35-45,Mujer,3 - 4,Historica,Gratis,Alta,Pareja,Pie,22
9631,18-35,Hombre,3 - 4,Turistica,+50 Euros,Baja,Pareja,Bicicleta,21
9632,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,13
9633,35-45,Hombre,7 - 8,Historica,1-50 Euros,Alta,Solo,Bicicleta,16
9634,35-45,Hombre,7 - 8,Turistica,Gratis,Baja,Solo,Bicicleta,18
9635,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,13
9636,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,12
9637,+45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,1
9638,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,15
9639,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,11
9640,+45,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Pie,22
9641,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Familia,Pie,1
9642,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,2
9643,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,2
9644,+45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,8
9645,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Pie,18
9646,+45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,6
9647,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,19
9648,35-45,Hombre,3 - 4,Historica,+50 Euros,Alta,Solo,Bicicleta,6
9649,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Solo,Bicicleta,19
9650,+45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,0
9651,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,8
9652,+45,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Bicicleta,20
9653,35-45,Hombre,1 - 2,Turistica,+50 Euros,Baja,Solo,Pie,17
9654,35-45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,1
9655,35-45,Mujer,7 - 8,Turistica,Gratis,Baja,Solo,Pie,13
9656,35-45,Hombre,3 - 4,Literaria,Gratis,Alta,Familia,Pie,18
9657,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,19
9658,35-45,Prefiero no decirlo,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,21
9659,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,11
9660,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Solo,Pie,1
9661,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Familia,Pie,5
9662,18-35,Prefiero no decirlo,1 - 2,Patrimonio,1-50 Euros,Baja,Solo,Bicicleta,18
9663,+45,Hombre,1 - 2,Historica,1-50 Euros,Alta,Familia,Bicicleta,18
9664,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,7
9665,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Solo,Bicicleta,23
9666,18-35,Mujer,3 - 4,Historica,Gratis,Alta,Pareja,Pie,11
9667,+45,Hombre,7 - 8,Historica,Gratis,Baja,Pareja,Pie,14
9668,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,7
9669,18-35,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Familia,Bicicleta,8
9670,18-35,Hombre,7 - 8,Literaria,Gratis,Alta,Pareja,Pie,16
9671,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,19
9672,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,1
9673,35-45,Hombre,5 - 6,Historica,1-50 Euros,Baja,Solo,Bicicleta,18
9674,18-35,Mujer,7 - 8,Turistica,Gratis,Baja,Familia,Pie,0
9675,35-45,Hombre,3 - 4,Historica,1-50 Euros,Alta,Familia,Bicicleta,18
9676,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,4
9677,18-35,Mujer,3 - 4,Turistica,Gratis,Baja,Solo,Pie,12
9678,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,8
9679,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,8
9680,+45,Hombre,3 - 4,Historica,1-50 Euros,Alta,Familia,Bicicleta,19
9681,35-45,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,14
9682,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Bicicleta,14
9683,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,4
9684,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Pareja,Pie,6
9685,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Familia,Bicicleta,15
9686,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,8
9687,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,0
9688,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,20
9689,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,13
9690,18-35,Mujer,1 - 2,Literaria,Gratis,Alta,Pareja,Pie,12
9691,18-35,Prefiero no decirlo,1 - 2,Turistica,Gratis,Alta,Pareja,Bicicleta,20
9692,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,2
9693,35-45,Mujer,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,21
9694,35-45,Hombre,5 - 6,Turistica,Gratis,Alta,Solo,Pie,11
9695,18-35,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Bicicleta,11
9696,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Familia,Pie,8
9697,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,7
9698,35-45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,1
9699,+45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Familia,Pie,21
9700,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Alta,Pareja,Pie,15
9701,35-45,Hombre,3 - 4,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,12
9702,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,1
9703,18-35,Mujer,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,2
9704,35-45,Mujer,3 - 4,Turistica,Gratis,Alta,Solo,Pie,2
9705,+45,Hombre,3 - 4,Historica,Gratis,Alta,Solo,Pie,23
9706,35-45,Mujer,5 - 6,Historica,1-50 Euros,Baja,Pareja,Pie,2
9707,+45,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Familia,Pie,6
9708,18-35,Hombre,3 - 4,Literaria,+50 Euros,Baja,Pareja,Bicicleta,8
9709,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Solo,Pie,11
9710,+45,Hombre,5 - 6,Historica,Gratis,Baja,Pareja,Pie,5
9711,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Pareja,Pie,13
9712,35-45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,16
9713,18-35,Hombre,5 - 6,Historica,1-50 Euros,Baja,Solo,Pie,8
9714,18-35,Hombre,1 - 2,Patrimonio,1-50 Euros,Baja,Pareja,Pie,22
9715,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Pareja,Bicicleta,13
9716,35-45,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,5
9717,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,8
9718,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,4
9719,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,2
9720,+45,Prefiero no decirlo,1 - 2,Historica,Gratis,Alta,Familia,Pie,0
9721,18-35,Hombre,7 - 8,Turistica,+50 Euros,Alta,Pareja,Bicicleta,19
9722,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Pie,16
9723,+45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,14
9724,35-45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Bicicleta,14
9725,35-45,Mujer,7 - 8,Literaria,Gratis,Alta,Pareja,Pie,19
9726,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,12
9727,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Pareja,Bicicleta,17
9728,35-45,Mujer,7 - 8,Historica,Gratis,Baja,Pareja,Pie,0
9729,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,2
9730,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,7
9731,35-45,Hombre,3 - 4,Literaria,Gratis,Alta,Pareja,Bicicleta,20
9732,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,3
9733,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Familia,Pie,16
9734,35-45,Hombre,7 - 8,Historica,Gratis,Baja,Solo,Pie,16
9735,+45,Mujer,1 - 2,Patrimonio,Gratis,Baja,Familia,Bicicleta,8
9736,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Solo,Bicicleta,21
9737,18-35,Hombre,7 - 8,Turistica,Gratis,Baja,Pareja,Pie,17
9738,18-35,Hombre,7 - 8,Literaria,Gratis,Alta,Pareja,Bicicleta,18
9739,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,15
9740,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,3
9741,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Pie,15
9742,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Pie,2
9743,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,19
9744,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,9
9745,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Pie,11
9746,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,6
9747,18-35,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,7
9748,+45,Hombre,3 - 4,Patrimonio,Gratis,Baja,Pareja,Bicicleta,21
9749,35-45,Hombre,3 - 4,Literaria,Gratis,Baja,Pareja,Pie,14
9750,35-45,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,1
9751,18-35,Hombre,1 - 2,Literaria,+50 Euros,Alta,Solo,Bicicleta,3
9752,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,18
9753,+45,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Familia,Bicicleta,19
9754,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Bicicleta,5
9755,35-45,Hombre,1 - 2,Historica,+50 Euros,Baja,Solo,Pie,0
9756,+45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,8
9757,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,10
9758,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Pie,11
9759,35-45,Mujer,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,0
9760,18-35,Mujer,1 - 2,Turistica,+50 Euros,Alta,Pareja,Pie,15
9761,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,10
9762,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,3
9763,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,1
9764,35-45,Mujer,7 - 8,Literaria,1-50 Euros,Baja,Pareja,Pie,18
9765,18-35,Hombre,7 - 8,Literaria,Gratis,Alta,Pareja,Pie,20
