descripcion,coordenadas,nombre_ruta,nombre_punto_interes,descripcion_ruta
"A tan sol 3 minuts caminant pel Carrer de General Tovar tornem al Carrer de la Pau. Projectada seguint l’urbanisme vuitcentista francès, es va convertir en un carrer residencial que a poc a poc s’ha anat dissipant aquest caràcter, ja que els antics habitatges que va ocupar la burgesia en els últims dos segles s’han transformat en edificis d’oficines, despatxos, restaurants, etc. Així i tot, segueix sent un carrer d’enorme encant.","['-0.3702683,39.4727128,0']",Glorieta-Santa Catalina,Carrer de la Pau,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"El recorregut pel Carrer de la Pau en direcció a la Plaça de la Reina ens permet impregnar-nos del seu ambient senyorial. Girem a l’esquerra per a visitar el Palau Marquès de Dosaigües en el carrer que porta el seu mateix nom. Es va construir en el S. XVIII partint d’una reforma de l’antiga casa pairal dels Rabassa de Perellós, titulars del marquesat de Dosaigües, amb un marcat estile rococó. En la seua segona planta podem trobar el Museu Nacional de Ceràmica González Martí, que compta amb una important col·lecció de peces de ceràmica de tots els temps.","['-0.374635,39.4726134,0']",Glorieta-Santa Catalina,Palau Marquès de Dosaigües ,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Tornem al Carrer la Pau i acabem de recórrer-la íntegrament per a doblegar a la dreta en la Plaça de la Reina i seguir recte. Ja albirem La Catedral (s. XIII), la seua porta meridional anomenada dels Ferros i la seua torre més cèlebre del Micalet, tot un símbol per als valencians. Visitem un dels grans monuments religiosos del Mediterrani, seu del Arzobispado de València. Construïda sobre la Mesquita Major en 1238, predomina l’estil gòtic valencià, encara que amb el pas del temps ha incorporat elements renaixentistes, barrocs i neoclàssics.","['-0.3753002,39.4753505,0']",Glorieta-Santa Catalina,Catedral,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Prop de la Catedral, a tres minuts caminant pel Carrer de la Barchilla i Carrer Palau, trobem el Palau de l’Almirall d’Aragó. Es tracta d’una mansió senyorial exemple del gòtic civil valencià del S. XV, que va ser reformada en el S. XVIII i que alberga en el seu soterrani les ruïnes d’un carrer romà.","['-0.3736935,39.4752803,0']",Glorieta-Santa Catalina,Palau de l'Almirall,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Al costat del palau localitzem els Banys de l’Almirall, un edifici mudèjar construït entre 1313 i 1320. És l’únic exemple de bany públic a Espanya que es va mantenir actiu fins a mitjan S. XX. Declarat Bé d’Interès Cultural, en 2005 es van obrir al públic per a la seua visita.","['-0.3733314,39.4752027,0']",Glorieta-Santa Catalina,Banys de l'Almirall,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Molt prop d’allí, en la Calle Trinquet dels Cavallers trobem també l’Església del Miracle i Hospital de Sacerdots Pobres, del segle XIV, que pràcticament no conserva gens dels seus orígens gòtics i ofereix l’aspecte que li van donar les restauracions posteriors dels segles XVII i XVIII. A destacar els excepcionals panells de ceràmica que poden admirar-se en els murs del pati.","['-0.3727145,39.4749087,0']",Glorieta-Santa Catalina,"Església del Miracle i Hospital de Sacerdots Pobres,","És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"En el mateix carrer podem visitar l’Església de Sant Joan de l’Hospital (S. XIII), una de les més antigues de la ciutat, en un edifici que aglutina romànic, gòtic valencià i barroc.","['-0.3728244,39.474345,0']",Glorieta-Santa Catalina,Església de Sant Joan de l’Hospital,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Seguim en direcció al Carrer de la Pau per a visitar una sèrie de monuments que es troben entorn d’una de les seues perpendiculars, la Calle Comèdies. Així arribem a la Plaça de Sant Vicent Ferrer. Allí ens espera l’Església de Sant Tomás Apostol i Sant Felip Neri, del S. XVIII, declarada Monument Històric Artístic Nacional. Una església construïda segons el model barroc de l’Església del Il Gesú de Roma, de gran influència en l’arquitectura religiosa europea.","['-0.372465,39.4740469,0']",Glorieta-Santa Catalina,Església de Sant Tomás Apostol i Sant Felip Neri,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Travessem El Carrer de la Pau i recorrem sencera la Calle Comèdies. Just quan acaba i es converteix en el Carrer de la Universitat, dobleguem pel Carrer de la Nau per a trobar-nos amb el Real Col·legi Seminari Corpus Christi o del Patriarca, del S. XVII, construït per iniciativa del patriarca Sant Joan de Ribera. En el seu costat oest es troba l’Església del Patriarca, el claustre del qual, construït amb columnes de marbre genovés, és un dels millors exponents d’arquitectura renaixentista que es poden veure en la ciutat.","['-0.373149,39.4723733,0']",Glorieta-Santa Catalina,Real Col·legi Seminari Corpus Christi,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Finalitzem aquest tram de la nostra ruta en l’anomenada la Universitat Vella, situada en el tram que ocupa el Carrer de la Universitat. L’edifici de la Nau és la seu de la Universitat de València des de la seua fundació en el S. XV, Segle d’Or Valencià. Avui dia desenvolupa principalment la seua activitat com a centre cultural de la universitat (Centre Cultural La Nau), a més de ser la seu institucional del rectorat.","['-0.3731839,39.4720027,0']",Glorieta-Santa Catalina,Universitat,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"El nostre recorregut comença en el Palau del Marquès de Dosaigües, en la Calle Poeta Querol. És un preciós edifici d’estil rococó construït en el S. XVIII, declarat Monument Històric Artístic, que compta amb una espectacular portada alabastrina. Dins podem visitar el Museu Nacional de Ceràmica i de les Arts Suntuarias González Martí.","['-0.3746081,39.4726643,0']",Glorieta-Santa Catalina,Palau del Marquès de Dosaigües,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Seguint aquest mateix carrer en direcció a la de les Barques, trobem l’entrada principal de l’Antiga Església de Sant Andrés, temple d’origen gòtic reconstruït en estil barroc. Des del final de la Guerra Civil rep el nom d’Església de Sant Joan de la Creu. Atenció a la decoració rococó del seu interior.","['-0.3746108,39.4722212,0']",Glorieta-Santa Catalina,Antiga Església de Sant Andrés,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Continuem el nostre camí i en un parell de minuts arribem al Teatre Principal de València, albirant primer la façana que dóna a Poeta Querol i doblegant després en el Carrer de les Barques per a col·locar-nos en la seua porta principal. Aquest teatre pioner va obrir les seues portes en 1832 i des de llavors ha patit nombroses obres de millora i modernització. Ofereix una variada programació de teatre, música i dansa.","['-0.3744418,39.4706083,0']",Glorieta-Santa Catalina,Teatre Principal,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Aquesta proposta de recorregut arranca en la Plaça Redona, un lloc emblemàtic i entranyable per als valencians que acull un mercat tradicional. Es tracta d’una xicoteta plaça interior de planta circular amb quatre entrades, construïda en el centre geomètric de la ciutat de l’any 1840. Milers i milers de valencians han visitat aquesta plaça els diumenges per a comprar els més diversos objectes i, especialment en el cas dels xavals, per a aconseguir els croms que li faltaven a la seua col·lecció.","['-0.3765983,39.4735732,0']",Glorieta-Santa Catalina,Plaça Redona,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Molt prop de la Plaça Redona es troba l’Església de Santa Catalina, exemple del gòtic valencià del S. XIII, encara que al llarg dels segles hi haja ha patit diferents reformes. Es tracta d’una de les esglésies més antigues de la ciutat. La seua torre barroca és un altre dels emblemes de la ciutat.","['-0.3764857,39.4739728,0']",Glorieta-Santa Catalina,Església de Santa Catalina,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Tan sol un parell de minuts de recorregut separen l’Església de Santa Catalina de La Catedral, seu del Arzobispado de València, dedicada a l’Asunción de María. El gòtic valencià és l’estil principal d’aquest edifici. Molt recomanable la seua col·lecció de pintura italiana del S. XV i una visita a la Capella del Sant Calze. I qui no ha escoltat parlar de la Torre del Micalet? És la torre campanar de la Catedral, d’estil gòtic valencià, un dels monuments més característics de València que es pot visitar fins al més alt a través de la seua escala de caragol.","['-0.3752304,39.4752358,0']",Glorieta-Santa Catalina,Catedral,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Tornem per la Plaça de la Reina. Enfront de l’Església de Santa Catalina es va obrir a la fi del S. XIX el Carrer de la Pau, una dels carrers amb més encant de València. Uneix la Plaça de la reina amb els Jardins de la Glorieta i la seua funció original va ser millorar la comunicació del centre amb el mar. Durant més d’un segle va tenir un marcat caràcter residencial i en ella van habitar algunes de les millors famílies de la burgesia. Aquells temps van passar i avui dia és un carrer ple de despatxos, oficines i restaurants, encara que segueix destacant per la bellesa dels seus edificis.","['-0.3750748,39.4736913,0']",Glorieta-Santa Catalina,Carrer de la Pau,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Si avancem en direcció a la Glorieta pel Carrer de la Pau i girem en el segon carrer a la dreta, arribarem al Palau del Marquès de Dosaigües, autèntica joia de l’estile rococó construït cap a 1740 i declarat Monument Històric Artístic en 1941. Alberga el prestigiós Museu Nacional de Ceràmica i Arts Suntuarias González Martí.","['-0.3746135,39.4725318,0']",Glorieta-Santa Catalina,Palau del Marquès de Dosaigües,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"Tornem al Carrer de la Pau i seguim en la mateixa adreça, admirant els seus edificis de caràcter modernista. Finalment arribem als Jardins de la Glorieta, més coneguts per com La Glorieta, molt populars entre els valencians, que compten amb alguns dels ficus més monumentals de la ciutat i amb una àmplia zona de jocs infantils. La seua construcció es remunta a l’època de la Guerra de la Independència. Posteriorment s’ha reformat en diverses ocasions.","['-0.3695656,39.4727968,0']",Glorieta-Santa Catalina,Jardins de la Glorieta,"És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.<br><br>Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.<br><br>Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació."
"El nostre recorregut arranca en els Jardins del Reial, als quals els valencians se solen referir habitualment com Els Vivers. Es tracta d’un dels pulmons verds de la ciutat, que remunta els seus orígens fins al S. XI, un extens parc que destaca per la seua història, la seua riquesa botànica i els seus monuments escultòrics al llarg del jardí. ","['-0.3679696,39.4775661,0']",Jardins del Reial - Glorieta,Jardins del Reial,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"En aquests jardins trobem el Museu de Ciències Naturals, centre per a la conservació, estudi i difusió del patrimoni científic i natural de València.","['-0.3682807,39.4793383,0']",Jardins del Reial - Glorieta,Museu Ciències Naturals,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"Prop dels Vivers, utilitzant les eixides que van a donar a l’antic llit del Túria, ens allarguem una mica per a gaudir d’un passeig per l’Albereda, un altre dels jardins públics més volguts pels valencians, que voreja la riba nord del Jardí del Túria. La seua part històrica va des dels Jardins del Reial fins a la Plaça de Saragossa.","['-0.3664139,39.4762494,0']",Jardins del Reial - Glorieta,Albereda,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"Entre Els Vivers, l’Albereda i l’Av. Blasco Ibáñez trobem un altre jardí d’estil neoclàssic, un dels més bells i benvolguts de la nostra ciutat: el Jardí de Monforte, del S. XIX, declarat Jardí Artístic Nacional. A part dels seus magnífics estanys i les seues estàtues de marbre trobem el Palau de Monforte, edifici de finals del S. XIX d’estil academicista francès.","['-0.3649119,39.4777814,0']",Jardins del Reial - Glorieta,Jardí de Monforte,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
Arribem a la Plaça de Tetuán creuant el Pont del Reial. L’antic Convent de Santo Domingo va ser construït en 1239 sobre terrenys cedits per Jaume I als dominicos. Avui dia ens ofereix una estupenda combinació d’estils gòtic valencià i barroc.,"['-0.3694502,39.4742287,0']",Jardins del Reial - Glorieta,Convent de Santo Domingo,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"En aquesta mateixa plaça localitzem el Palau de Cervelló, d’orígens gòtics, residència de reis durant el S. XIX en les seues visites a València. Est és el lloc en el qual Fernando VII va signar el decret d’abolició de la Constitució de 1812 i va restaurar la monarquia absoluta. Avui dia alberga l’Arxiu Històric Municipal de la ciutat.","['-0.3702441,39.4742799,0']",Jardins del Reial - Glorieta,Palau de Cervelló,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"A menys d’1 minut està situat el Centre Cultural Bancaixa, referència a València per la seua variada oferta social i cultural. Aquesta seu és el fruit de la unió de dos edificis històrics: la seu antiga Caixa d’Estalvis i Mont de pietat de València (S. XX) i l’antiga residència de Manuel Gómez Fos (S. XIX).","['-0.3701905,39.4735677,0']",Jardins del Reial - Glorieta,Centre Cultural Bancaixa,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
"Molt pròxims es troben els Jardins de la Glorieta, construïts a principis el S. XIX en temps de la Guerra de la Independència i reconstruït després de la riuada de 1957. Un parc de gran tradició per als valencians en el qual pot admirar-se els seus enormes *ficus i gaudir de la seua ombra i d’una bona zona de jocs infantils.","['-0.3695897,39.4728058,0']",Jardins del Reial - Glorieta,Jardins de la Glorieta,"Aquesta ruta explora llocs històrics de la nostra ciutat, alguns en ple casc antic. Encara que en aquest cas escapa per unes hores de Ciutat Vella, creuant el riu, per a mostrar-nos paratges urbans valencians de inigualable bellesa.<br><br>El primer recorregut visita algunes de les zones verdes més assenyalades i freqüentades de la ciutat, com els Vivers o l’Albereda, i utilitza els ponts sobre el Jardí del Túria per a anar d’un costat a un altre amb fluïdesa.<br><br>A l’altre costat de l’antic riu prossegueix el nostre recorregut verd en la Glorieta. I serà precisament de tornada al districte Ciutat Vella, on visitarem alguns dels principals monuments civils i eclesiàstics que defineixen a aquesta ciutat."
